,city,location,latitude,longitude,pincode
0,Connaught Place,New Delhi,28.6333,77.2167,110001
1,Darya Ganj,New Delhi,28.6333,77.25,110002
2,Aliganj,New Delhi,28.65,77.2167,110003
3,Rashtrapati Bhawan,New Delhi,28.65,77.2167,110004
4,Lower Camp Anand Parbat,New Delhi,28.65,77.2,110005
5,Bara Tooti,New Delhi,28.65,77.2167,110006
6,Birla Lines,New Delhi,28.6833,77.2,110007
7,Patel Nagar,New Delhi,28.65,77.2167,110008
8,Delhi Cantt,New Delhi,28.55,77.2667,110010
9,Nirman Bhawan,New Delhi,28.55,77.2667,110011
10,Inderpuri,New Delhi,28.55,77.2667,110012
11,Hazrat Nizamuddin,New Delhi,28.55,77.2667,110013
12,Jangpura,New Delhi,28.55,77.2667,110014
13,Zakhira,New Delhi,28.55,77.2667,110015
14,Hauz Khas,New Delhi,28.55,77.2667,110016
15,Malviya Nagar,New Delhi,28.55,77.2667,110017
16,Vishnu Garden,New Delhi,28.55,77.2667,110018
17,Nehru Place,New Delhi,28.55,77.2667,110019
18,Flatted Factories Complex,New Delhi,28.6488,77.1726,110020
19,Malcha Marg,New Delhi,28.6488,77.1726,110021
20,Postal Saving Bureau,New Delhi,28.6488,77.1726,110022
21,Kidwai Nagar,New Delhi,28.6488,77.1726,110023
22,Lajpat Nagar,New Delhi,28.6488,77.1726,110024
23,Jamia Nagar,New Delhi,28.6488,77.1726,110025
24,Punjabi Bagh,New Delhi,28.6488,77.1726,110026
25,J 6block Rajouri Garden,New Delhi,28.6488,77.1726,110027
26,Naraina Industrial Estate,New Delhi,28.6488,77.1726,110028
27,Himayunpur Extn,New Delhi,28.6488,77.1726,110029
28,T B Hospital,New Delhi,28.7556,77.1667,110030
29,Gandhi Nagar,New Delhi,28.7556,77.1667,110031
30,Shahdara,New Delhi,28.6667,77.3167,110032
31,Adarsh Nagar,New Delhi,28.7556,77.1667,110033
32,Pitampura,New Delhi,28.7556,77.1667,110034
33,Inderlok,New Delhi,28.7556,77.1667,110035
34,Alipur,New Delhi,28.8,77.15,110036
35,Gurgaon Road,New Delhi,28.7556,77.1667,110037
36,A F Rajokari,New Delhi,28.7556,77.1667,110038
37,Bawana,New Delhi,28.8,77.0333,110039
38,Sanoth,New Delhi,28.85,77.1,110040
39,Nagloi,New Delhi,28.6092,77.1569,110041
40,Badli,New Delhi,28.6092,77.1569,110042
41,Najafgarh,New Delhi,28.6125,76.9847,110043
42,Badarpur T P Station,New Delhi,28.5083,77.3,110044
43,Palam Enclave,New Delhi,28.5667,77.1,110045
44,Nangal Rava,New Delhi,28.6092,77.1569,110046
45,Arjan Garh,New Delhi,28.6092,77.1569,110047
46,Kailash,New Delhi,28.6092,77.1569,110048
47,Andrews Ganj,New Delhi,28.6092,77.1569,110049
48,Azad Nagar,New Delhi,28.6167,77.2167,110051
49,Wazirpur Phase Iii,New Delhi,28.6167,77.2167,110052
50,Zafrabad,New Delhi,28.6167,77.2167,110053
51,Civil Lines,New Delhi,28.6167,77.2167,110054
52,Paharganj,New Delhi,28.6167,77.2167,110055
53,Shakurbasti,New Delhi,28.6167,77.2167,110056
54,Munirka,New Delhi,28.6167,77.2167,110057
55,Janakpuri,New Delhi,28.6167,77.2167,110058
56,Uttam Nagar,New Delhi,28.6167,77.2167,110059
57,New Rajinder Nagar,New Delhi,28.6488,77.1726,110060
58,Bijwasan,New Delhi,28.6488,77.1726,110061
59,Hamdard Nagar,New Delhi,28.6488,77.1726,110062
60,Paschim Vihar,New Delhi,28.6488,77.1726,110063
61,Hari Nagar Be Block,New Delhi,28.6488,77.1726,110064
62,East Of Kailash,New Delhi,28.6488,77.1726,110065
63,R K Puram,New Delhi,28.6488,77.1726,110066
64,D D A Munirka,New Delhi,28.6488,77.1726,110067
65,Vasant Kunj,New Delhi,28.6528,76.9539,110070
66,Chhawla,New Delhi,28.6528,76.9539,110071
67,Jharoda Kalan,New Delhi,28.6528,76.9539,110072
68,Ujwa,New Delhi,28.6528,76.9539,110073
69,Kanjhawala,New Delhi,28.6488,77.1726,110081
70,Khera Kalan,New Delhi,28.6488,77.1726,110082
71,Mangolpuri Block A,New Delhi,28.6488,77.1726,110083
72,Kutubgarh,New Delhi,28.6488,77.1726,110084
73,Shalimar Bagh,New Delhi,28.7165,77.1629,110088
74,Himmatpuri,New Delhi,28.6488,77.1726,110091
75,Shakarpur,New Delhi,28.6488,77.1726,110092
76,Nand Nagri A Block,New Delhi,28.6488,77.1726,110093
77,Gokulpuri,New Delhi,28.6488,77.1726,110094
78,Bhajan Pura,New Delhi,28.6488,77.1726,110096
79,Faridabad,Uttar Pradesh,28.9915,76.2541,121001
